Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut20_k555_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,5 5 5,Au.pbesol-n-rrkjus_psl.1.0.0,-85.17699955
Au_ecut20_k666_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,6 6 6,Au.pbe-n-kjpaw_psl.1.0.0,-775.0911278
Au_ecut20_k666_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,6 6 6,Au.pbe-n-rrkjus_psl.1.0.0,-85.34426998
Au_ecut20_k666_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,6 6 6,Au.pbesol-n-kjpaw_psl.1.0.0,-764.62861529
Au_ecut20_k666_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,6 6 6,Au.pbesol-n-rrkjus_psl.1.0.0,-85.1656454
Au_ecut20_k777_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,7 7 7,Au.pbe-n-kjpaw_psl.1.0.0,-775.09867075
Au_ecut20_k777_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,7 7 7,Au.pbe-n-rrkjus_psl.1.0.0,-85.35188003
Au_ecut20_k777_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,7 7 7,Au.pbesol-n-kjpaw_psl.1.0.0,-764.6358705
Au_ecut20_k777_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,7 7 7,Au.pbesol-n-rrkjus_psl.1.0.0,-85.17253251
Au_ecut20_k888_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,8 8 8,Au.pbe-n-kjpaw_psl.1.0.0,-775.09193366
Au_ecut20_k888_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,8 8 8,Au.pbe-n-rrkjus_psl.1.0.0,-85.34511209
Au_ecut20_k888_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,8 8 8,Au.pbesol-n-kjpaw_psl.1.0.0,-764.62920576
Au_ecut20_k888_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,8 8 8,Au.pbesol-n-rrkjus_psl.1.0.0,-85.16613411
Au_ecut20_k999_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,9 9 9,Au.pbe-n-kjpaw_psl.1.0.0,-775.09700961
Au_ecut20_k999_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,9 9 9,Au.pbe-n-rrkjus_psl.1.0.0,-85.35012438
Au_ecut20_k999_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,9 9 9,Au.pbesol-n-kjpaw_psl.1.0.0,-764.63421264
Au_ecut20_k999_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,9 9 9,Au.pbesol-n-rrkjus_psl.1.0.0,-85.17105055
Au_ecut20_k101010_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,10 10 10,Au.pbe-n-kjpaw_psl.1.0.0,-775.09348419
Au_ecut20_k101010_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,10 10 10,Au.pbe-n-rrkjus_psl.1.0.0,-85.34661727
Au_ecut20_k101010_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,10 10 10,Au.pbesol-n-kjpaw_psl.1.0.0,-764.63061542
Au_ecut20_k101010_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,10 10 10,Au.pbesol-n-rrkjus_psl.1.0.0,-85.1676104
Au_ecut20_k111111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,20,11 11 11,Au.pbe-n-kjpaw_psl.1.0.0,-775.0957306
Au_ecut20_k111111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,20,11 11 11,Au.pbe-n-rrkjus_psl.1.0.0,-85.34888281
