Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ni_ecut25_k222_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,2 2 2,Ni.pbesol-spn-kjpaw_psl.1.0.0,-411.2925462
Ni_ecut25_k222_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,2 2 2,Ni.pbesol-spn-rrkjus_psl.1.0.0,-324.4028666
Ni_ecut25_k222_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,2 2 2,Ni.pbe-spn-kjpaw_psl.1.0.0,-413.7260768
Ni_ecut25_k222_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,2 2 2,Ni.pbe-spn-rrkjus_psl.1.0.0,-324.45406
Ni_ecut25_k333_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,3 3 3,Ni.pbesol-spn-kjpaw_psl.1.0.0,-412.2719605
Ni_ecut25_k333_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,3 3 3,Ni.pbesol-spn-rrkjus_psl.1.0.0,-325.3630673
Ni_ecut25_k333_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,3 3 3,Ni.pbe-spn-kjpaw_psl.1.0.0,-414.7532674
Ni_ecut25_k333_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,3 3 3,Ni.pbe-spn-rrkjus_psl.1.0.0,-325.4674602
Ni_ecut25_k444_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,4 4 4,Ni.pbesol-spn-kjpaw_psl.1.0.0,-410.5811372
Ni_ecut25_k444_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,4 4 4,Ni.pbesol-spn-rrkjus_psl.1.0.0,-323.7190031
Ni_ecut25_k444_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,4 4 4,Ni.pbe-spn-kjpaw_psl.1.0.0,-413.0599188
Ni_ecut25_k444_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,4 4 4,Ni.pbe-spn-rrkjus_psl.1.0.0,-323.8221161
Ni_ecut25_k555_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,5 5 5,Ni.pbesol-spn-kjpaw_psl.1.0.0,-411.5402779
Ni_ecut25_k555_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,5 5 5,Ni.pbesol-spn-rrkjus_psl.1.0.0,-324.6495284
Ni_ecut25_k555_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,5 5 5,Ni.pbe-spn-kjpaw_psl.1.0.0,-414.0216436
Ni_ecut25_k555_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,5 5 5,Ni.pbe-spn-rrkjus_psl.1.0.0,-324.7553759
Ni_ecut25_k666_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,6 6 6,Ni.pbesol-spn-kjpaw_psl.1.0.0,-411.0722555
Ni_ecut25_k666_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,6 6 6,Ni.pbesol-spn-rrkjus_psl.1.0.0,-324.2005786
Ni_ecut25_k666_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,25,6 6 6,Ni.pbe-spn-kjpaw_psl.1.0.0,-413.5463756
Ni_ecut25_k666_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,25,6 6 6,Ni.pbe-spn-rrkjus_psl.1.0.0,-324.2995725
Ni_ecut25_k777_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,25,7 7 7,Ni.pbesol-spn-kjpaw_psl.1.0.0,-411.2463676
Ni_ecut25_k777_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,25,7 7 7,Ni.pbesol-spn-rrkjus_psl.1.0.0,-324.3679764
