Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
K_ecut20_k777_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,7 7 7,K.pbe-spn-rrkjus_psl.1.0.0,-58.68304741
K_ecut20_k777_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,7 7 7,K.pz-spn-rrkjus_psl.1.0.0,-58.65080634
K_ecut20_k777_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,7 7 7,K.pz-spn-kjpaw_psl.1.0.0,-109.77824612
K_ecut20_k888_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,8 8 8,K.pbe-spn-kjpaw_psl.1.0.0,-112.91920447
K_ecut20_k888_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,8 8 8,K.pbe-spn-rrkjus_psl.1.0.0,-58.68304468
K_ecut20_k888_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,8 8 8,K.pz-spn-rrkjus_psl.1.0.0,-58.65080113
K_ecut20_k888_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,8 8 8,K.pz-spn-kjpaw_psl.1.0.0,-109.77825485
K_ecut20_k999_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,9 9 9,K.pbe-spn-kjpaw_psl.1.0.0,-112.91957639
K_ecut20_k999_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,9 9 9,K.pbe-spn-rrkjus_psl.1.0.0,-58.68342059
K_ecut20_k999_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,9 9 9,K.pz-spn-rrkjus_psl.1.0.0,-58.65117495
K_ecut20_k999_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,9 9 9,K.pz-spn-kjpaw_psl.1.0.0,-109.77862153
K_ecut20_k101010_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,10 10 10,K.pbe-spn-kjpaw_psl.1.0.0,-112.9189921
K_ecut20_k101010_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,10 10 10,K.pbe-spn-rrkjus_psl.1.0.0,-58.68283768
K_ecut20_k101010_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,10 10 10,K.pz-spn-rrkjus_psl.1.0.0,-58.65058823
K_ecut20_k101010_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,10 10 10,K.pz-spn-kjpaw_psl.1.0.0,-109.77803473
K_ecut20_k111111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,20,11 11 11,K.pbe-spn-kjpaw_psl.1.0.0,-112.91933237
K_ecut20_k111111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,20,11 11 11,K.pbe-spn-rrkjus_psl.1.0.0,-58.68317676
K_ecut20_k111111_K.pz-spn-rrkjus_psl.1.0.0.in,K,20,11 11 11,K.pz-spn-rrkjus_psl.1.0.0,-58.65093558
K_ecut20_k111111_K.pz-spn-kjpaw_psl.1.0.0.in,K,20,11 11 11,K.pz-spn-kjpaw_psl.1.0.0,-109.77838143
K_ecut25_k111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,1 1 1,K.pbe-spn-kjpaw_psl.1.0.0,-113.08245256
K_ecut25_k111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,1 1 1,K.pbe-spn-rrkjus_psl.1.0.0,-58.84533616
K_ecut25_k111_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,1 1 1,K.pz-spn-rrkjus_psl.1.0.0,-58.81385654
K_ecut25_k111_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,1 1 1,K.pz-spn-kjpaw_psl.1.0.0,-109.94236461
K_ecut25_k222_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,2 2 2,K.pbe-spn-kjpaw_psl.1.0.0,-112.9538849
K_ecut25_k222_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,2 2 2,K.pbe-spn-rrkjus_psl.1.0.0,-58.71676794
K_ecut25_k222_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,2 2 2,K.pz-spn-rrkjus_psl.1.0.0,-58.68729096
K_ecut25_k222_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,2 2 2,K.pz-spn-kjpaw_psl.1.0.0,-109.81580241
K_ecut25_k333_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,3 3 3,K.pbe-spn-kjpaw_psl.1.0.0,-113.00161811
K_ecut25_k333_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,3 3 3,K.pbe-spn-rrkjus_psl.1.0.0,-58.7644843
K_ecut25_k333_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,3 3 3,K.pz-spn-rrkjus_psl.1.0.0,-58.73322579
K_ecut25_k333_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,3 3 3,K.pz-spn-kjpaw_psl.1.0.0,-109.86175698
K_ecut25_k444_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,4 4 4,K.pbe-spn-kjpaw_psl.1.0.0,-112.9897627
K_ecut25_k444_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,4 4 4,K.pbe-spn-rrkjus_psl.1.0.0,-58.7526366
K_ecut25_k444_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,4 4 4,K.pz-spn-rrkjus_psl.1.0.0,-58.72126849
K_ecut25_k444_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,4 4 4,K.pz-spn-kjpaw_psl.1.0.0,-109.84979128
K_ecut25_k555_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,5 5 5,K.pbe-spn-kjpaw_psl.1.0.0,-112.9943808
K_ecut25_k555_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,5 5 5,K.pbe-spn-rrkjus_psl.1.0.0,-58.75725458
K_ecut25_k555_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,5 5 5,K.pz-spn-rrkjus_psl.1.0.0,-58.72595664
K_ecut25_k555_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,5 5 5,K.pz-spn-kjpaw_psl.1.0.0,-109.854481
K_ecut25_k666_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,6 6 6,K.pbe-spn-kjpaw_psl.1.0.0,-112.99318983
K_ecut25_k666_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,6 6 6,K.pbe-spn-rrkjus_psl.1.0.0,-58.756063
K_ecut25_k666_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,6 6 6,K.pz-spn-rrkjus_psl.1.0.0,-58.7247486
K_ecut25_k666_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,6 6 6,K.pz-spn-kjpaw_psl.1.0.0,-109.85327463
K_ecut25_k777_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,7 7 7,K.pbe-spn-kjpaw_psl.1.0.0,-112.99431456
K_ecut25_k777_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,7 7 7,K.pbe-spn-rrkjus_psl.1.0.0,-58.75718762
K_ecut25_k777_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,7 7 7,K.pz-spn-rrkjus_psl.1.0.0,-58.72587397
K_ecut25_k777_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,7 7 7,K.pz-spn-kjpaw_psl.1.0.0,-109.85439899
K_ecut25_k888_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,8 8 8,K.pbe-spn-kjpaw_psl.1.0.0,-112.99378662
K_ecut25_k888_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,8 8 8,K.pbe-spn-rrkjus_psl.1.0.0,-58.75665858
K_ecut25_k888_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,8 8 8,K.pz-spn-rrkjus_psl.1.0.0,-58.72534157
K_ecut25_k888_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,8 8 8,K.pz-spn-kjpaw_psl.1.0.0,-109.85386752
K_ecut25_k999_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,9 9 9,K.pbe-spn-kjpaw_psl.1.0.0,-112.99435908
K_ecut25_k999_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,9 9 9,K.pbe-spn-rrkjus_psl.1.0.0,-58.75723166
K_ecut25_k999_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,9 9 9,K.pz-spn-rrkjus_psl.1.0.0,-58.72591585
K_ecut25_k999_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,9 9 9,K.pz-spn-kjpaw_psl.1.0.0,-109.85444106
K_ecut25_k101010_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,10 10 10,K.pbe-spn-kjpaw_psl.1.0.0,-112.9939661
K_ecut25_k101010_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,10 10 10,K.pbe-spn-rrkjus_psl.1.0.0,-58.75683861
K_ecut25_k101010_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,10 10 10,K.pz-spn-rrkjus_psl.1.0.0,-58.72551907
K_ecut25_k101010_K.pz-spn-kjpaw_psl.1.0.0.in,K,25,10 10 10,K.pz-spn-kjpaw_psl.1.0.0,-109.85404417
K_ecut25_k111111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,25,11 11 11,K.pbe-spn-kjpaw_psl.1.0.0,-112.9942146
K_ecut25_k111111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,25,11 11 11,K.pbe-spn-rrkjus_psl.1.0.0,-58.75708731
K_ecut25_k111111_K.pz-spn-rrkjus_psl.1.0.0.in,K,25,11 11 11,K.pz-spn-rrkjus_psl.1.0.0,-58.72577519
